0[0, 4126, 4806, 7070, 14980, 17980, 18912, 24420]
1[720, 4126, 7574, 10574, 14980, 17980, 20352, 24420]
2[1060, 4806, 7576, 11506, 14980, 18912, 20354, 24420]
3[2192, 7070, 10576, 11508, 17980, 18912, 20360, 24420]
4[2444, 7574, 7576, 12946, 14980, 20352, 20354, 24420]
5[3194, 10574, 10576, 12948, 17980, 20352, 20360, 24420]
6[3427, 11506, 11508, 12950, 18912, 20354, 20360, 24420]
7[3787, 12946, 12948, 12950, 20352, 20354, 20360, 24420]
8[1, 4127, 4808, 7072, 14981, 17981, 18916, 24421]
9[720, 4127, 7574, 10574, 14981, 17981, 20352, 24421]
10[1061, 4808, 7577, 11510, 14981, 18916, 20355, 24421]
11[2193, 7072, 10577, 11512, 17981, 18916, 20361, 24421]
12[2444, 7574, 7577, 12946, 14981, 20352, 20355, 24421]
13[3194, 10574, 10577, 12948, 17981, 20352, 20361, 24421]
14[3428, 11510, 11512, 12951, 18916, 20355, 20361, 24421]
15[3787, 12946, 12948, 12951, 20352, 20355, 20361, 24421]
16[36, 4162, 4807, 7142, 14982, 18052, 18913, 24422]
17[738, 4162, 7575, 10646, 14982, 18052, 20353, 24422]
18[1060, 4807, 7576, 11506, 14982, 18913, 20354, 24422]
19[2228, 7142, 10648, 11509, 18052, 18913, 20362, 24422]
20[2444, 7575, 7576, 12946, 14982, 20353, 20354, 24422]
21[3212, 10646, 10648, 12949, 18052, 20353, 20362, 24422]
22[3427, 11506, 11509, 12950, 18913, 20354, 20362, 24422]
23[3787, 12946, 12949, 12950, 20353, 20354, 20362, 24422]
24[37, 4163, 4809, 7144, 14983, 18053, 18917, 24423]
25[738, 4163, 7575, 10646, 14983, 18053, 20353, 24423]
26[1061, 4809, 7577, 11510, 14983, 18917, 20355, 24423]
27[2229, 7144, 10649, 11513, 18053, 18917, 20363, 24423]
28[2444, 7575, 7577, 12946, 14983, 20353, 20355, 24423]
29[3212, 10646, 10649, 12949, 18053, 20353, 20363, 24423]
30[3428, 11510, 11513, 12951, 18917, 20355, 20363, 24423]
31[3787, 12946, 12949, 12951, 20353, 20355, 20363, 24423]
32[360, 5598, 6278, 7071, 16480, 17982, 18914, 24424]
33[1456, 5598, 9074, 10575, 16480, 17982, 20356, 24424]
34[1796, 6278, 9076, 11507, 16480, 18914, 20358, 24424]
35[2192, 7071, 10576, 11508, 17982, 18914, 20360, 24424]
36[2819, 9074, 9076, 12947, 16480, 20356, 20358, 24424]
37[3194, 10575, 10576, 12948, 17982, 20356, 20360, 24424]
38[3427, 11507, 11508, 12950, 18914, 20358, 20360, 24424]
39[3787, 12947, 12948, 12950, 20356, 20358, 20360, 24424]
40[361, 5599, 6280, 7073, 16481, 17983, 18918, 24425]
41[1456, 5599, 9074, 10575, 16481, 17983, 20356, 24425]
42[1797, 6280, 9077, 11511, 16481, 18918, 20359, 24425]
43[2193, 7073, 10577, 11512, 17983, 18918, 20361, 24425]
44[2819, 9074, 9077, 12947, 16481, 20356, 20359, 24425]
45[3194, 10575, 10577, 12948, 17983, 20356, 20361, 24425]
46[3428, 11511, 11512, 12951, 18918, 20359, 20361, 24425]
47[3787, 12947, 12948, 12951, 20356, 20359, 20361, 24425]
48[396, 5634, 6279, 7143, 16482, 18054, 18915, 24426]
49[1474, 5634, 9075, 10647, 16482, 18054, 20357, 24426]
50[1796, 6279, 9076, 11507, 16482, 18915, 20358, 24426]
51[2228, 7143, 10648, 11509, 18054, 18915, 20362, 24426]
52[2819, 9075, 9076, 12947, 16482, 20357, 20358, 24426]
53[3212, 10647, 10648, 12949, 18054, 20357, 20362, 24426]
54[3427, 11507, 11509, 12950, 18915, 20358, 20362, 24426]
55[3787, 12947, 12949, 12950, 20357, 20358, 20362, 24426]
56[397, 5635, 6281, 7145, 16483, 18055, 18919, 24427]
57[1474, 5635, 9075, 10647, 16483, 18055, 20357, 24427]
58[1797, 6281, 9077, 11511, 16483, 18919, 20359, 24427]
59[2229, 7145, 10649, 11513, 18055, 18919, 20363, 24427]
60[2819, 9075, 9077, 12947, 16483, 20357, 20359, 24427]
61[3212, 10647, 10649, 12949, 18055, 20357, 20363, 24427]
62[3428, 11511, 11513, 12951, 18919, 20359, 20363, 24427]
63[3787, 12947, 12949, 12951, 20357, 20359, 20363, 24427]
64[2, 4128, 4810, 7074, 14984, 17984, 18920, 24428]
65[721, 4128, 7578, 10578, 14984, 17984, 20364, 24428]
66[1062, 4810, 7580, 11514, 14984, 18920, 20366, 24428]
67[2194, 7074, 10580, 11516, 17984, 18920, 20372, 24428]
68[2445, 7578, 7580, 12952, 14984, 20364, 20366, 24428]
69[3195, 10578, 10580, 12954, 17984, 20364, 20372, 24428]
70[3429, 11514, 11516, 12956, 18920, 20366, 20372, 24428]
71[3788, 12952, 12954, 12956, 20364, 20366, 20372, 24428]
72[3, 4129, 4812, 7076, 14985, 17985, 18924, 24429]
73[721, 4129, 7578, 10578, 14985, 17985, 20364, 24429]
74[1063, 4812, 7581, 11518, 14985, 18924, 20367, 24429]
75[2195, 7076, 10581, 11520, 17985, 18924, 20373, 24429]
76[2445, 7578, 7581, 12952, 14985, 20364, 20367, 24429]
77[3195, 10578, 10581, 12954, 17985, 20364, 20373, 24429]
78[3430, 11518, 11520, 12957, 18924, 20367, 20373, 24429]
79[3788, 12952, 12954, 12957, 20364, 20367, 20373, 24429]
80[38, 4166, 4811, 7146, 14986, 18060, 18921, 24430]
81[740, 4166, 7579, 10654, 14986, 18060, 20365, 24430]
82[1062, 4811, 7580, 11514, 14986, 18921, 20366, 24430]
83[2230, 7146, 10656, 11517, 18060, 18921, 20374, 24430]
84[2445, 7579, 7580, 12952, 14986, 20365, 20366, 24430]
85[3214, 10654, 10656, 12955, 18060, 20365, 20374, 24430]
